,x,y
811,46767.68,46605.66
812,47000.0,45450.0
813,46838.97,46055.51
814,47051.21,46595.74
815,47007.83,46666.0
816,46776.02,46498.93
817,46795.24,46429.31
818,47010.0,46630.55
819,46975.0,46756.48
820,46940.0,46719.69
821,46919.99,46734.72
822,46846.23,46632.01
823,46731.1,46528.76
824,46677.0,46500.0
825,46768.48,46573.92
826,46890.0,46700.01
827,46930.74,46688.19
828,46790.0,46591.6
829,47972.0,44748.67
830,46325.79,45252.99
831,45894.29,45295.19
832,46261.09,45800.0
833,46254.01,45924.0
834,46167.23,45973.0
835,46249.14,45958.37
836,46097.94,45788.85
837,45893.93,45638.43
838,45960.0,45622.0
839,46082.87,45882.41
840,46080.0,45901.31
841,46211.95,45922.86
842,46190.73,46048.49
843,46186.0,46059.21
844,46161.1,45944.82
845,46027.08,45890.58
846,45979.0,45921.1
847,46065.85,45875.28
848,46048.84,45911.1
849,46023.4,45835.79
850,45910.0,45734.56
851,45861.1,45711.92
852,45758.48,45320.53
853,45592.0,45321.99
854,45700.0,45534.05
855,45726.0,45582.69
856,45731.1,45532.0
857,45659.42,45466.0
858,45541.66,45000.0
859,45662.01,44850.8
860,45289.0,44363.93
861,45393.99,44300.36
862,45289.98,45028.0
863,45344.0,44820.35
864,45404.89,44832.0
865,45312.99,44800.0
866,45630.7,45151.82
867,45708.31,45173.97
868,45571.1,45292.5
869,45701.87,45227.01
870,46449.0,45570.0
871,46633.86,45840.0
872,46598.97,46214.77
873,46666.0,46043.69
874,46524.13,46077.74
875,46504.92,44800.0
876,46254.01,45000.0
877,46301.04,45346.62
878,45975.0,45080.0
879,46689.0,45760.45
880,46948.98,46278.11
881,47695.93,46700.0
882,46976.55,46381.86
883,46686.68,46296.46
884,46721.37,46362.0
885,46732.0,46469.39
886,46750.0,46468.33
887,46622.39,46500.0
888,46619.09,46511.94
889,46590.81,46200.0
890,46567.67,46389.98
891,46507.08,46304.96
892,46500.0,46400.0
893,46417.33,46228.0
894,46323.06,45896.23
895,46091.53,45618.1
896,45954.69,45724.48
897,46166.99,45881.1
898,46140.82,45960.64
899,46296.04,46052.0
900,46318.1,46166.0
901,46354.0,46218.66
902,46318.0,46211.94
903,46550.0,46210.0
904,46860.0,46471.62
905,47150.0,46705.97
906,47089.8,46840.0
907,47176.84,46941.1
908,47464.87,47012.57
909,47449.64,47088.0
910,47325.99,46762.86
911,47880.0,47215.0
912,48969.48,47500.01
913,48657.98,47500.0
914,47854.05,46463.19
915,47022.07,45788.0
916,46438.76,45837.59
917,46293.8,45606.06
918,46550.0,45774.0
919,46514.0,46259.09
920,46644.72,46401.1
921,46610.0,46283.14
922,46735.29,46483.24
